order_id,user_id,status,created_at,shipped_at,delivered_at,num_of_item,last_updated_ts
2447,1992,Cancelled,2024-04-18 04:47:13.278703 UTC,,,1,2024-04-18 04:47:13.278703 UTC
2487,2027,Cancelled,2024-04-18 16:29:14.209568 UTC,,,1,2024-04-18 16:29:14.209568 UTC
5119,4123,Cancelled,2024-04-18 04:32:00.000000 UTC,,,1,2024-04-18 04:32:00.000000 UTC
5548,4496,Cancelled,2024-04-18 01:40:00.000000 UTC,,,1,2024-04-18 01:40:00.000000 UTC
6168,5001,Cancelled,2024-04-18 16:43:00.000000 UTC,,,4,2024-04-18 16:43:00.000000 UTC
7302,5938,Cancelled,2024-04-18 08:10:58.326329 UTC,,,1,2024-04-18 08:10:58.326329 UTC
8155,6615,Cancelled,2024-04-18 05:35:16.028829 UTC,,,2,2024-04-18 05:35:16.028829 UTC
9471,7728,Cancelled,2024-04-18 04:35:44.846135 UTC,,,1,2024-04-18 04:35:44.846135 UTC
11215,9104,Cancelled,2024-04-18 02:43:20.465039 UTC,,,1,2024-04-18 02:43:20.465039 UTC
11298,9165,Cancelled,2024-04-18 14:53:22.045959 UTC,,,4,2024-04-18 14:53:22.045959 UTC
12378,10032,Cancelled,2024-04-18 14:54:44.407634 UTC,,,2,2024-04-18 14:54:44.407634 UTC
13180,10678,Cancelled,2024-04-18 05:10:00.000000 UTC,,,1,2024-04-18 05:10:00.000000 UTC
13789,11176,Cancelled,2024-04-18 04:43:00.000000 UTC,,,1,2024-04-18 04:43:00.000000 UTC
15653,12648,Cancelled,2024-04-18 02:24:00.000000 UTC,,,2,2024-04-18 02:24:00.000000 UTC
15937,12874,Cancelled,2024-04-18 18:35:04.882483 UTC,,,2,2024-04-18 18:35:04.882483 UTC
17240,13897,Cancelled,2024-04-18 00:07:00.000000 UTC,,,1,2024-04-18 00:07:00.000000 UTC
18249,14704,Cancelled,2024-04-18 16:43:52.883962 UTC,,,1,2024-04-18 16:43:52.883962 UTC
18769,15145,Cancelled,2024-04-18 16:33:00.000000 UTC,,,1,2024-04-18 16:33:00.000000 UTC
21682,17454,Cancelled,2024-04-18 16:49:05.523678 UTC,,,2,2024-04-18 16:49:05.523678 UTC
21785,17527,Cancelled,2024-04-18 19:07:07.457298 UTC,,,4,2024-04-18 19:07:07.457298 UTC
21998,17691,Cancelled,2024-04-18 09:34:00.000000 UTC,,,3,2024-04-18 09:34:00.000000 UTC
25355,20301,Cancelled,2024-04-18 17:25:22.884178 UTC,,,1,2024-04-18 17:25:22.884178 UTC
25496,20414,Cancelled,2024-04-18 03:13:26.252883 UTC,,,1,2024-04-18 03:13:26.252883 UTC
28108,22556,Cancelled,2024-04-18 14:33:23.621820 UTC,,,1,2024-04-18 14:33:23.621820 UTC
28966,23245,Cancelled,2024-04-18 18:26:42.120037 UTC,,,1,2024-04-18 18:26:42.120037 UTC
29599,23752,Cancelled,2024-04-18 16:42:55.544729 UTC,,,1,2024-04-18 16:42:55.544729 UTC
32662,26170,Cancelled,2024-04-18 00:50:00.226900 UTC,,,1,2024-04-18 00:50:00.226900 UTC
34736,27831,Cancelled,2024-04-18 11:42:00.000000 UTC,,,2,2024-04-18 11:42:00.000000 UTC
35308,28280,Cancelled,2024-04-18 06:29:57.209265 UTC,,,1,2024-04-18 06:29:57.209265 UTC
36926,29577,Cancelled,2024-04-18 17:25:32.048782 UTC,,,2,2024-04-18 17:25:32.048782 UTC
38068,30498,Cancelled,2024-04-18 12:12:56.636964 UTC,,,1,2024-04-18 12:12:56.636964 UTC
39311,31517,Cancelled,2024-04-18 10:49:24.092270 UTC,,,1,2024-04-18 10:49:24.092270 UTC
41027,32875,Cancelled,2024-04-18 06:35:03.076219 UTC,,,2,2024-04-18 06:35:03.076219 UTC
46491,37290,Cancelled,2024-04-18 09:56:15.400206 UTC,,,1,2024-04-18 09:56:15.400206 UTC
47660,38255,Cancelled,2024-04-18 13:22:40.904931 UTC,,,1,2024-04-18 13:22:40.904931 UTC
48337,38791,Cancelled,2024-04-18 17:46:54.862894 UTC,,,1,2024-04-18 17:46:54.862894 UTC
48551,38957,Cancelled,2024-04-18 03:11:59.159263 UTC,,,1,2024-04-18 03:11:59.159263 UTC
49506,39734,Cancelled,2024-04-18 12:23:00.000000 UTC,,,1,2024-04-18 12:23:00.000000 UTC
53530,42939,Cancelled,2024-04-18 15:36:41.716407 UTC,,,1,2024-04-18 15:36:41.716407 UTC
54244,43511,Cancelled,2024-04-18 15:08:00.000000 UTC,,,4,2024-04-18 15:08:00.000000 UTC
54865,44000,Cancelled,2024-04-18 17:26:00.000000 UTC,,,4,2024-04-18 17:26:00.000000 UTC
55614,44593,Cancelled,2024-04-18 08:44:24.738630 UTC,,,1,2024-04-18 08:44:24.738630 UTC
55616,44593,Cancelled,2024-04-18 08:44:24.738630 UTC,,,1,2024-04-18 08:44:24.738630 UTC
55712,44663,Cancelled,2024-04-18 06:02:26.556076 UTC,,,2,2024-04-18 06:02:26.556076 UTC
58797,47058,Cancelled,2024-04-18 13:38:28.474850 UTC,,,1,2024-04-18 13:38:28.474850 UTC
59395,47539,Cancelled,2024-04-18 13:20:40.740021 UTC,,,1,2024-04-18 13:20:40.740021 UTC
63867,51148,Cancelled,2024-04-18 08:30:00.000000 UTC,,,4,2024-04-18 08:30:00.000000 UTC
64469,51615,Cancelled,2024-04-18 10:59:27.513744 UTC,,,1,2024-04-18 10:59:27.513744 UTC
65122,52116,Cancelled,2024-04-18 09:42:40.393157 UTC,,,1,2024-04-18 09:42:40.393157 UTC
65126,52121,Cancelled,2024-04-18 13:20:00.000000 UTC,,,2,2024-04-18 13:20:00.000000 UTC
65449,52378,Cancelled,2024-04-18 05:16:47.058129 UTC,,,1,2024-04-18 05:16:47.058129 UTC
65525,52442,Cancelled,2024-04-18 04:32:00.000000 UTC,,,1,2024-04-18 04:32:00.000000 UTC
65594,52492,Cancelled,2024-04-18 13:46:50.028715 UTC,,,1,2024-04-18 13:46:50.028715 UTC
66529,53222,Cancelled,2024-04-18 02:55:00.000000 UTC,,,1,2024-04-18 02:55:00.000000 UTC
66912,53542,Cancelled,2024-04-18 01:23:17.818009 UTC,,,1,2024-04-18 01:23:17.818009 UTC
67399,53939,Cancelled,2024-04-18 03:05:28.022322 UTC,,,1,2024-04-18 03:05:28.022322 UTC
68123,54543,Cancelled,2024-04-18 05:24:43.502208 UTC,,,1,2024-04-18 05:24:43.502208 UTC
68338,54700,Cancelled,2024-04-18 07:59:47.545868 UTC,,,1,2024-04-18 07:59:47.545868 UTC
69492,55600,Cancelled,2024-04-18 01:35:11.102603 UTC,,,3,2024-04-18 01:35:11.102603 UTC
70088,56056,Cancelled,2024-04-18 07:08:00.000000 UTC,,,1,2024-04-18 07:08:00.000000 UTC
70654,56504,Cancelled,2024-04-18 01:12:34.790573 UTC,,,1,2024-04-18 01:12:34.790573 UTC
71559,57239,Cancelled,2024-04-18 17:23:16.350783 UTC,,,1,2024-04-18 17:23:16.350783 UTC
73296,58651,Cancelled,2024-04-18 16:03:53.231836 UTC,,,1,2024-04-18 16:03:53.231836 UTC
73687,58981,Cancelled,2024-04-18 07:24:01.780965 UTC,,,1,2024-04-18 07:24:01.780965 UTC
73903,59152,Cancelled,2024-04-18 16:43:00.000000 UTC,,,1,2024-04-18 16:43:00.000000 UTC
74137,59332,Cancelled,2024-04-18 13:57:10.805897 UTC,,,1,2024-04-18 13:57:10.805897 UTC
76405,61117,Cancelled,2024-04-18 14:47:57.165530 UTC,,,2,2024-04-18 14:47:57.165530 UTC
77483,61938,Cancelled,2024-04-18 15:05:18.659723 UTC,,,1,2024-04-18 15:05:18.659723 UTC
78842,63012,Cancelled,2024-04-18 14:16:46.936176 UTC,,,1,2024-04-18 14:16:46.936176 UTC
80060,63986,Cancelled,2024-04-18 01:48:00.000000 UTC,,,3,2024-04-18 01:48:00.000000 UTC
80074,63997,Cancelled,2024-04-18 07:53:12.340618 UTC,,,4,2024-04-18 07:53:12.340618 UTC
80075,63997,Cancelled,2024-04-18 07:53:12.340618 UTC,,,4,2024-04-18 07:53:12.340618 UTC
83305,66624,Cancelled,2024-04-18 01:58:20.366961 UTC,,,1,2024-04-18 01:58:20.366961 UTC
84486,67586,Cancelled,2024-04-18 05:17:45.334711 UTC,,,2,2024-04-18 05:17:45.334711 UTC
85240,68185,Cancelled,2024-04-18 08:06:00.000000 UTC,,,1,2024-04-18 08:06:00.000000 UTC
86003,68787,Cancelled,2024-04-18 11:02:16.719636 UTC,,,1,2024-04-18 11:02:16.719636 UTC
86521,69214,Cancelled,2024-04-18 15:25:00.000000 UTC,,,2,2024-04-18 15:25:00.000000 UTC
86966,69560,Cancelled,2024-04-18 17:39:36.688466 UTC,,,1,2024-04-18 17:39:36.688466 UTC
88652,70930,Cancelled,2024-04-18 13:35:12.090149 UTC,,,4,2024-04-18 13:35:12.090149 UTC
88724,70981,Cancelled,2024-04-18 18:45:00.000000 UTC,,,2,2024-04-18 18:45:00.000000 UTC
90428,72339,Cancelled,2024-04-18 15:28:00.000000 UTC,,,1,2024-04-18 15:28:00.000000 UTC
90616,72474,Cancelled,2024-04-18 03:55:51.617653 UTC,,,1,2024-04-18 03:55:51.617653 UTC
96728,77378,Cancelled,2024-04-18 11:20:00.000000 UTC,,,1,2024-04-18 11:20:00.000000 UTC
98626,78937,Cancelled,2024-04-18 03:29:00.000000 UTC,,,1,2024-04-18 03:29:00.000000 UTC
98861,79124,Cancelled,2024-04-18 04:06:43.455019 UTC,,,2,2024-04-18 04:06:43.455019 UTC
100725,80631,Cancelled,2024-04-18 01:41:00.000000 UTC,,,2,2024-04-18 01:41:00.000000 UTC
101199,80992,Cancelled,2024-04-18 17:39:31.722909 UTC,,,2,2024-04-18 17:39:31.722909 UTC
101200,80992,Cancelled,2024-04-18 17:39:31.722909 UTC,,,1,2024-04-18 17:39:31.722909 UTC
105134,84221,Cancelled,2024-04-18 03:35:54.958580 UTC,,,1,2024-04-18 03:35:54.958580 UTC
106788,85538,Cancelled,2024-04-18 14:18:00.000000 UTC,,,1,2024-04-18 14:18:00.000000 UTC
106888,85605,Cancelled,2024-04-18 15:40:30.418618 UTC,,,1,2024-04-18 15:40:30.418618 UTC
107321,85929,Cancelled,2024-04-18 13:55:38.855165 UTC,,,2,2024-04-18 13:55:38.855165 UTC
107450,86025,Cancelled,2024-04-18 11:11:00.000000 UTC,,,2,2024-04-18 11:11:00.000000 UTC
107885,86359,Cancelled,2024-04-18 17:02:00.000000 UTC,,,1,2024-04-18 17:02:00.000000 UTC
108039,86485,Cancelled,2024-04-18 17:12:53.481270 UTC,,,1,2024-04-18 17:12:53.481270 UTC
108862,87139,Cancelled,2024-04-18 07:23:11.463294 UTC,,,1,2024-04-18 07:23:11.463294 UTC
110428,88422,Cancelled,2024-04-18 18:58:45.202351 UTC,,,1,2024-04-18 18:58:45.202351 UTC
112487,90093,Cancelled,2024-04-18 03:26:28.368836 UTC,,,1,2024-04-18 03:26:28.368836 UTC
113049,90550,Cancelled,2024-04-18 04:56:00.000000 UTC,,,1,2024-04-18 04:56:00.000000 UTC
113696,91083,Cancelled,2024-04-18 05:31:54.000982 UTC,,,1,2024-04-18 05:31:54.000982 UTC
113771,91157,Cancelled,2024-04-18 02:43:55.909910 UTC,,,1,2024-04-18 02:43:55.909910 UTC
113814,91189,Cancelled,2024-04-18 13:24:56.745807 UTC,,,1,2024-04-18 13:24:56.745807 UTC
114648,91849,Cancelled,2024-04-18 12:38:13.792012 UTC,,,1,2024-04-18 12:38:13.792012 UTC
117047,93819,Cancelled,2024-04-18 05:08:04.733827 UTC,,,2,2024-04-18 05:08:04.733827 UTC
118316,94836,Cancelled,2024-04-18 16:30:31.111540 UTC,,,1,2024-04-18 16:30:31.111540 UTC
119561,95820,Cancelled,2024-04-18 08:52:00.000000 UTC,,,1,2024-04-18 08:52:00.000000 UTC
119609,95864,Cancelled,2024-04-18 17:36:59.122047 UTC,,,2,2024-04-18 17:36:59.122047 UTC
