id,order_id,user_id,product_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
92164,63492,50535,14235,Complete,2024-04-10 15:21:04.218130 UTC,2024-04-12 21:28:11.218130 UTC,2024-04-16 20:13:11.218130 UTC,,0.0199999995529651
65955,45508,36109,14298,Cancelled,2024-04-10 04:20:41.399394 UTC,,,,1.7200000286102295
6464,4454,3592,13690,Complete,2024-04-10 16:19:21.000000 UTC,2024-04-11 05:29:00.000000 UTC,2024-04-14 03:21:00.000000 UTC,,2.6700000762939453
34034,23526,18710,28774,Returned,2024-04-06 23:43:18.000000 UTC,2024-04-04 01:24:00.000000 UTC,2024-04-06 18:21:00.000000 UTC,2024-04-07 00:16:00.000000 UTC,2.7799999713897705
159500,109863,87157,29064,Complete,2024-04-06 07:36:58.000000 UTC,2024-04-08 13:27:00.000000 UTC,2024-04-10 04:14:00.000000 UTC,,2.9500000476837158
64095,44219,35126,15349,Processing,2024-04-09 09:28:10.000000 UTC,,,,2.9500000476837158
112493,77526,61649,9621,Cancelled,2024-04-11 00:28:26.470938 UTC,,,,2.9900000095367432
150010,103363,82128,28551,Complete,2024-04-08 06:38:21.132677 UTC,2024-04-08 14:43:43.132677 UTC,2024-04-09 04:05:43.132677 UTC,,2.9900000095367432
26325,18150,14444,28551,Shipped,2024-04-05 04:42:10.000000 UTC,2024-04-06 03:06:00.000000 UTC,,,2.9900000095367432
83591,57565,45813,15531,Shipped,2024-04-11 13:44:35.375901 UTC,2024-04-12 16:25:20.375901 UTC,,,2.9900000095367432
117583,81073,64485,25276,Shipped,2024-04-12 12:48:44.129003 UTC,2024-04-15 01:59:38.129003 UTC,,,2.9900000095367432
150771,103875,82524,12354,Shipped,2024-04-10 23:25:56.644144 UTC,2024-04-12 10:35:52.644144 UTC,,,2.9900000095367432
91595,63107,50248,15248,Complete,2024-04-12 03:06:47.446665 UTC,2024-04-14 03:35:04.446665 UTC,2024-04-16 16:11:04.446665 UTC,,3.1700000762939453
73693,50813,40369,9044,Processing,2024-04-04 14:49:35.000000 UTC,,,,3.2000000476837158
129032,88956,70772,28557,Complete,2024-04-06 02:18:30.000000 UTC,2024-04-08 22:36:00.000000 UTC,2024-04-10 00:17:00.000000 UTC,,3.25
99339,68452,54457,29025,Shipped,2024-04-05 12:53:08.000000 UTC,2024-04-07 18:50:00.000000 UTC,,,3.2899999618530278
129179,89064,70860,14118,Complete,2024-04-05 17:22:12.000000 UTC,2024-04-05 23:29:00.000000 UTC,2024-04-10 00:08:00.000000 UTC,,3.7000000476837158
102701,70797,56320,13891,Cancelled,2024-04-03 04:20:52.000000 UTC,,,,3.9500000476837158
118536,81710,64996,25046,Processing,2024-04-03 12:21:25.000000 UTC,,,,3.9500000476837158
61904,42695,33951,29112,Cancelled,2024-04-14 09:26:33.407802 UTC,,,,3.9900000095367432
98088,67597,53741,13923,Complete,2024-04-10 11:22:30.000000 UTC,2024-04-08 19:42:00.000000 UTC,2024-04-12 01:34:00.000000 UTC,,3.9900000095367432
44969,31039,24659,28758,Processing,2024-04-03 02:45:29.000000 UTC,,,,3.9900000095367432
132883,91587,72844,13979,Processing,2024-04-04 08:32:42.000000 UTC,,,,3.9900000095367432
139966,96475,76650,15788,Returned,2024-04-10 05:01:21.000000 UTC,2024-04-09 04:08:00.000000 UTC,2024-04-11 09:29:00.000000 UTC,2024-04-12 02:27:00.000000 UTC,3.9900000095367432
11058,7618,6098,13940,Shipped,2024-04-03 10:25:26.000000 UTC,2024-04-06 02:12:00.000000 UTC,,,4.1500000953674316
43462,30014,23842,28657,Processing,2024-04-03 21:47:13.000000 UTC,,,,4.380000114440918
146813,101190,80451,28657,Shipped,2024-04-14 04:24:57.000000 UTC,2024-04-10 21:23:00.000000 UTC,,,4.380000114440918
23186,15979,12775,28370,Cancelled,2024-04-12 09:07:30.845437 UTC,,,,4.5
137417,94692,75292,25265,Complete,2024-04-12 07:05:44.891043 UTC,2024-04-14 05:13:02.891043 UTC,2024-04-18 09:26:02.891043 UTC,,4.5
171743,118279,93889,28370,Shipped,2024-04-01 09:06:05.000000 UTC,2024-04-01 21:56:00.000000 UTC,,,4.5
